path	vi	fr
destinations.json::[0].name	Chùa Cầu (Cầu Nhật Bản)	Le pont couvert japonais
destinations.json::[0].description	Do các thương nhân Nhật Bản dựng vào khoảng đầu thế kỷ XVII để nối hai bờ khe nước chảy ra sông Thu Bồn, cầu vẫn giữ mái ngói âm dương và ngôi miếu nhỏ thờ Bắc Đế Trấn Võ ngay giữa lòng cầu. Người phố Hội gọi là Chùa Cầu; tên chữ Lai Viễn Kiều có nghĩa cầu đón khách từ phương xa tới.	Bâti par des marchands japonais au début du XVIIe siècle pour franchir le ruisseau qui se jette dans la rivière Thu Bồn, le pont garde son toit de tuiles yin-yang et, en son milieu, un petit sanctuaire dédié à Bắc Đế Trấn Võ. Les habitants l'appellent Chùa Cầu, le pont-pagode ; son nom lettré, Lai Viễn Kiều, signifie « le pont qui accueille ceux qui viennent de loin ».
destinations.json::[0].quizBank[0].question	Chùa Cầu do cộng đồng thương nhân nào xây dựng?	Quelle communauté de marchands a bâti le pont ?
destinations.json::[0].quizBank[0].options[0]	Nhật Bản	Les Japonais
destinations.json::[0].quizBank[0].options[1]	Trung Hoa	Les Chinois
destinations.json::[0].quizBank[0].options[2]	Bồ Đào Nha	Les Portugais
destinations.json::[0].quizBank[1].question	Chùa Cầu được làm chủ yếu bằng vật liệu gì?	En quel matériau le pont est-il principalement fait ?
destinations.json::[0].quizBank[1].options[0]	Gỗ	Le bois
destinations.json::[0].quizBank[1].options[1]	Đá	La pierre
destinations.json::[0].quizBank[1].options[2]	Bê tông	Le béton
destinations.json::[0].quizBank[2].question	Chùa Cầu bắc qua dòng nước chảy ra con sông nào?	Le ruisseau sous le pont se jette dans quelle rivière ?
destinations.json::[0].quizBank[2].options[0]	Sông Thu Bồn	La rivière Thu Bồn
destinations.json::[0].quizBank[2].options[1]	Sông Hàn	La rivière Hàn (Đà Nẵng)
destinations.json::[0].quizBank[2].options[2]	Sông Hương	La rivière des Parfums (Huế)
destinations.json::[0].quizBank[3].question	Chùa Cầu được xây dựng vào khoảng thời gian nào?	Quand le pont a-t-il été construit ?
destinations.json::[0].quizBank[3].options[0]	Đầu thế kỷ 17	Au début du XVIIe siècle
destinations.json::[0].quizBank[3].options[1]	Thế kỷ 15	Au XVe siècle
destinations.json::[0].quizBank[3].options[2]	Thế kỷ 19	Au XIXe siècle
destinations.json::[0].quizBank[4].question	Hình ảnh Chùa Cầu xuất hiện trên tờ tiền Việt Nam mệnh giá nào?	Le pont figure sur quel billet vietnamien ?
destinations.json::[0].quizBank[4].options[0]	20.000 đồng	20 000 ₫
destinations.json::[0].quizBank[4].options[1]	10.000 đồng	10 000 ₫
destinations.json::[0].quizBank[4].options[2]	50.000 đồng	50 000 ₫
destinations.json::[0].short	Vừa là cầu, vừa là miếu — công trình hơn 400 năm đã thành gương mặt của Hội An.	À la fois pont et sanctuaire — plus de quatre siècles, et le visage de Hội An.
destinations.json::[0].highlights[0]	Đôi tượng thần hầu và thiên cẩu gác hai đầu cầu	Les statues du singe et du chien aux deux extrémités
