path	vi	zh
destinations.json::[0].name	Chùa Cầu (Cầu Nhật Bản)	来远桥（日本桥）
destinations.json::[0].description	Do các thương nhân Nhật Bản dựng vào khoảng đầu thế kỷ XVII để nối hai bờ khe nước chảy ra sông Thu Bồn, cầu vẫn giữ mái ngói âm dương và ngôi miếu nhỏ thờ Bắc Đế Trấn Võ ngay giữa lòng cầu. Người phố Hội gọi là Chùa Cầu; tên chữ Lai Viễn Kiều có nghĩa cầu đón khách từ phương xa tới.	17世纪初，日本商人为跨越流入秋盆江的水道而建。桥上仍保留阴阳瓦顶，桥心还有一座供奉北帝镇武的小庙。当地人称它“桥寺”，文献上的名字“来远桥”意为迎接远方来客之桥。
destinations.json::[0].quizBank[0].question	Chùa Cầu do cộng đồng thương nhân nào xây dựng?	来远桥由哪个商人群体所建？
destinations.json::[0].quizBank[0].options[0]	Nhật Bản	日本
destinations.json::[0].quizBank[0].options[1]	Trung Hoa	中国
destinations.json::[0].quizBank[0].options[2]	Bồ Đào Nha	葡萄牙
destinations.json::[0].quizBank[1].question	Chùa Cầu được làm chủ yếu bằng vật liệu gì?	来远桥主要用什么材料建成？
destinations.json::[0].quizBank[1].options[0]	Gỗ	木
destinations.json::[0].quizBank[1].options[1]	Đá	石
destinations.json::[0].quizBank[1].options[2]	Bê tông	混凝土
destinations.json::[0].quizBank[2].question	Chùa Cầu bắc qua dòng nước chảy ra con sông nào?	桥下的水流入哪条江？
destinations.json::[0].quizBank[2].options[0]	Sông Thu Bồn	秋盆江
destinations.json::[0].quizBank[2].options[1]	Sông Hàn	汉江（岘港）
destinations.json::[0].quizBank[2].options[2]	Sông Hương	香江（顺化）
destinations.json::[0].quizBank[3].question	Chùa Cầu được xây dựng vào khoảng thời gian nào?	来远桥大约建于何时？
destinations.json::[0].quizBank[3].options[0]	Đầu thế kỷ 17	17世纪初
destinations.json::[0].quizBank[3].options[1]	Thế kỷ 15	15世纪
destinations.json::[0].quizBank[3].options[2]	Thế kỷ 19	19世纪
destinations.json::[0].quizBank[4].question	Hình ảnh Chùa Cầu xuất hiện trên tờ tiền Việt Nam mệnh giá nào?	来远桥出现在越南哪一面额的纸币上？
destinations.json::[0].quizBank[4].options[0]	20.000 đồng	20,000 越南盾
destinations.json::[0].quizBank[4].options[1]	10.000 đồng	10,000 越南盾
destinations.json::[0].quizBank[4].options[2]	50.000 đồng	50,000 越南盾
destinations.json::[0].short	Vừa là cầu, vừa là miếu — công trình hơn 400 năm đã thành gương mặt của Hội An.	既是桥，也是庙——四百多年过去，它成了会安的面孔。
destinations.json::[0].highlights[0]	Đôi tượng thần hầu và thiên cẩu gác hai đầu cầu	守在桥两端的猴与狗石像
destinations.json::[0].highlights[1]	Ngôi miếu thờ Bắc Đế Trấn Võ giữa lòng cầu	桥心供奉北帝镇武的小庙
destinations.json::[0].highlights[2]	Mái ngói âm dương và bộ vì kèo gỗ của người thợ xưa	阴阳瓦顶与旧时匠人的木构屋架
destinations.json::[1].name	Chùa Quan Âm	观音寺
destinations.json::[1].description	Cách Miếu Quan Công một khoảng vườn thanh tịnh làm nao lòng du khách, ngôi chùa là chốn tự tại giữa cảnh phồn hoa, giữ gìn nếp cũ người Minh Hương	与关公庙只隔一座清幽庭园，这座寺是繁华街市中让人安顿下来的地方，也守着明乡人的旧规矩。
destinations.json::[1].quizBank[0].question	Tại sao vị bồ tát này lại có ngoại hình dữ tợn?	这位菩萨为何形貌凶猛？
destinations.json::[1].quizBank[0].options[0]	Để hàng phục quỷ đói	为了降伏饿鬼
destinations.json::[1].quizBank[0].options[1]	Để bảo vệ linh tháp	为了守护灵塔
destinations.json::[1].quizBank[0].options[2]	Để tăng uy thế cho điện thờ	为了增添殿堂威势
destinations.json::[1].quizBank[0].explain	Tiêu Diện Đại Sĩ là một hóa thân của Quan Thế Âm Bồ Tát, cai quản, nhiếp phục loài ngạ quỷ (quỷ đói) và cứu độ chúng sinh lầm đường lạc lối. Đối diện với Tiêu Diện Đại Sĩ là Vi Đà Tôn Thiên, mang sắc tướng khôi ngô, là người bảo vệ. Hai vị cũng được gọi là Ông Thiện và Ông Ác.	焦面大士是观世音菩萨的化身，掌管并降伏饿鬼，救度迷途众生。与他相对的是相貌俊伟的韦陀尊天，为护法者。二位也被称作“善爷”与“恶爷”。
destinations.json::[1].quizBank[1].question	Quan Thế Âm Bồ Tát cầm gì trên tay trái?	观世音菩萨左手拿着什么？
destinations.json::[1].quizBank[1].options[0]	Bình hồ lô	葫芦瓶
destinations.json::[1].quizBank[1].options[1]	Bình tịnh thuỷ	盛净水的瓶
destinations.json::[1].quizBank[1].options[2]	Nhành dương liễu	杨柳枝
