"value","what it means","where it appears"
"file","Which shipped file the row lives in. Do not edit.","column A"
"where","Exact field this text came from. Do not edit — this is how edits are applied back.","column B"
"notes","Rules for this row. Read before editing.","column C"
"vietnamese","Vietnamese text. The primary language — every row needs one.","column D"
"english","English text. Required on every row except the three marked ""one language only"".","column E"
"destinations.json","The 25 sites: name, address, hours, description, quiz banks. 384 rows.","column A"
"strings.js","Buttons, labels, errors, organizer screens — app chrome, not content. 187 rows.","column A"
"event.json","Home page: tagline, subtitle, venue, intro, how-it-works steps, footnote. 13 rows.","column A"
"tours.json","Walking tours: title, theme, description, voucher wording. 8 rows.","column A"
"rewards.json","Rank tiers: title and prize. 8 rows.","column A"
"ticket-points.json","Ticket counters: where each one stands. 13 rows.","column A"
"categories.json","The five map filter labels. 5 rows.","column A"
"A1 chua-cau / name","Destination rows read: site code, site id, then the field. The code and id identify the site — the same ones the survey sheet uses.","column B"
"… / quiz[3].question","Question 4 of that site's bank (numbering starts at 0). Each site ships 10.","column B"
"… / quiz[3].options[2]","Answer choice 3 of that question.","column B"
"howItWorks[0]","First of the numbered steps on the home page. Order is the order shown.","column B"
"AUTO-GENERATED — rewrite","Written by a script from the site's own street and category. Factually safe but dull — these are the rows that most need a human. 51 of them.","column C"
"correct answer","This option is the right one. Reword it freely; just keep it the right one, and keep the wrong options plausible.","column C"
"${…} placeholders must stay","The app substitutes a number here at runtime. Keep every ${n} / ${a} / ${b} exactly as written — you may move them within the sentence.","column C"
"one language only","Deliberately not translated: a proper noun, a year, a date range. Leave the english cell empty — a value there fails the build check.","column C"
"easy / hard","Quiz difficulty. A visitor draws 2 easy + 1 hard, so keep easy answerable from the plaque at the door and hard from actually listening to a guide.","column C"
"UI label","Screen furniture. Keep it short — most of these sit inside a button on a phone.","column C"
"(house rules)","",""
"Both languages, always","Every row except the three ""one language only"" ones needs Vietnamese and English. A missing one fails the build.","all rows"
"Vietnamese is primary","The app opens in Vietnamese. English is for visitors, not the default reading.","all rows"
"Street names stay Vietnamese","Addresses and hours ship identical in both columns on purpose. Only translate leading words like ""end of the street"".","address, hours"
"Sentence case, active voice","A button says what happens when it is tapped: ""Check in"", not ""Submit"". Same word for the same action everywhere.","strings.js"
"Quiz answers are public","The answers ship inside the app, so a hard question means one that rewards paying attention, not one that is hard to look up.","quiz rows"
"Rows are fixed","Do not add, delete or reorder rows, and do not touch columns A–B. Text edits only, in columns D–E.","all rows"
