"file","where","notes","vietnamese","english"
"event.json","tagline","","Chạm di sản, chạm sáng tạo","Embrace Heritage, Inspire Creativity"
"event.json","subtitle","","Khu phố cổ Hội An — Di sản Văn hóa Thế giới","Hoi An Ancient Town — World Cultural Heritage"
"event.json","venue","","Quảng trường sông Hoài và khu phố cổ Hội An","Sông Hoài Square and Hội An Ancient Town"
"event.json","intro","","Phố cổ Hội An từng là một trong những thương cảng quốc tế sầm uất bậc nhất khu vực thế kỷ XVI–XVII. Trong tuần lễ sáng tạo, hãy đi bộ qua những hội quán, nhà cổ, bảo tàng và không gian nghệ thuật — check-in tại mỗi điểm để sưu tầm tem cho hộ chiếu của bạn.","Hoi An was one of the busiest international trading ports in the region during the 16th–17th centuries. During the creative week, walk through its assembly halls, old houses, museums and art spaces — check in at each to collect stamps for your passport."
"event.json","howItWorks[0]","","Mở bản đồ và chọn một điểm đến gần bạn.","Open the map and pick a site near you."
"event.json","howItWorks[1]","","Đến nơi, nhấn ""Check-in"". Ứng dụng kiểm tra vị trí GPS của bạn.","When you arrive, tap ""Check in"". The app verifies your GPS location."
"event.json","howItWorks[2]","","Trả lời vài câu hỏi về điểm đến để xác nhận.","Answer a few questions about the site to confirm."
"event.json","howItWorks[3]","","Nhận tem và điểm thưởng. Ghé “điểm cần khám phá” được +10 điểm.","Earn a stamp and points. Spotlight sites give +10 bonus points."
"event.json","howItWorks[4]","","Đủ tem theo tuyến hoặc đạt mốc danh hiệu → đổi quà tại quầy vé.","Complete a tour set or reach a rank → claim your gift at any ticket counter."
"event.json","note","","Hộ chiếu được lưu trên thiết bị của bạn — không cần đăng nhập. Mất mạng vẫn check-in được. Hãy lưu lại mã khôi phục trong mục Hộ chiếu để không mất tem khi đổi máy.","Your passport is stored on your device — no login required. Check-in works offline. Save the recovery code on the Passport tab so you keep your stamps if you switch phones."
"event.json","title","one language only — proper noun","Tuần lễ Sáng tạo Hội An",""
"event.json","year","one language only","2026",""
"event.json","dates","one language only — date range","28/8 – 02/9/2026",""
"destinations.json","A1 chua-cau / name","","Chùa Cầu (Cầu Nhật Bản)","Japanese Covered Bridge"
"destinations.json","A1 chua-cau / address","","Cuối đường Nguyễn Thị Minh Khai","Cuối đường Nguyễn Thị Minh Khai"
"destinations.json","A1 chua-cau / hours","","7:00 - 22:00","7:00 - 22:00"
