"component","id","field","vi","en"
"destination","chua-cau","name","Chùa Cầu (Cầu Nhật Bản)","Japanese Covered Bridge"
"destination","chua-cau","address","Cuối đường Nguyễn Thị Minh Khai","Cuối đường Nguyễn Thị Minh Khai"
"destination","chua-cau","hours","7:00 - 22:00","7:00 - 22:00"
"destination","chua-cau","description","Chùa Cầu nằm tiếp giáp đường Nguyễn Thị Minh Khai và đường Trần Phú- Hội An, còn được gọi là cầu Nhật Bản, là công trình do các thương gia Nhật Bản đến buôn bán tại Hội An xây dựng vào khoảng đầu thế kỷ XVII, cách nay hơn 400 năm.","A wooden bridge built by Japanese merchants in the early 17th century — the architectural symbol and soul of Hoi An's old town."
"destination","chua-quan-am","name","Chùa Quan Âm","Quan Am Pagoda"
"destination","chua-quan-am","address","26 Trần Phú","26 Trần Phú"
"destination","chua-quan-am","hours","7:30 - 19:30","7:30 - 19:30"
"destination","chua-quan-am","description","Tọa lạc tại số 13 đường Nguyễn Huệ, phường Minh An, thành phố Hội An, Minh Hương Phật tự hay còn gọi là chùa Quan Âm là ngôi chùa thờ Phật có lịch sử lâu đời tại phố cổ Hội An. Theo sử sách, chùa được cư dân làng Minh Hương cho xây khoảng trước năm 1653, giai đoạn hình thành của phố cổ Hội An.","A Buddhist pagoda on Tran Phu street dedicated to Quan Am (Guanyin), the bodhisattva of compassion."
"destination","mieu-quan-cong","name","Miếu Quan Công","Quan Cong Temple"
"destination","mieu-quan-cong","address","24 Trần Phú","24 Trần Phú"
"destination","mieu-quan-cong","hours","7:30 - 19:30","7:30 - 19:30"
"destination","mieu-quan-cong","description","Miếu Quan Công, ở số 24 đường Trần Phú còn được gọi Chùa Ông, tên chữ là Trừng Hán Cung được người làng Minh Hương và người Việt tại Hội An xây dựng vào khoảng giữa thế kỷ XVII, thờ Quan Công – danh tướng thời Tam Quốc, nhằm tán dương lòng nghĩa khí, tiết trung liệt của Ông.","Also called Chua Ong, built in 1653 to worship Quan Cong (Guan Yu), a symbol of loyalty and righteousness."
