path	vi
destinations.json::[0].name	Chùa Cầu (Cầu Nhật Bản)
destinations.json::[0].description	Do các thương nhân Nhật Bản dựng vào khoảng đầu thế kỷ XVII để nối hai bờ khe nước chảy ra sông Thu Bồn, cầu vẫn giữ mái ngói âm dương và ngôi miếu nhỏ thờ Bắc Đế Trấn Võ ngay giữa lòng cầu. Người phố Hội gọi là Chùa Cầu; tên chữ Lai Viễn Kiều có nghĩa cầu đón khách từ phương xa tới.
destinations.json::[0].quizBank[0].question	Chùa Cầu do cộng đồng thương nhân nào xây dựng?
destinations.json::[0].quizBank[0].options[0]	Nhật Bản
destinations.json::[0].quizBank[0].options[1]	Trung Hoa
destinations.json::[0].quizBank[0].options[2]	Bồ Đào Nha
destinations.json::[0].quizBank[1].question	Chùa Cầu được làm chủ yếu bằng vật liệu gì?
destinations.json::[0].quizBank[1].options[0]	Gỗ
destinations.json::[0].quizBank[1].options[1]	Đá
destinations.json::[0].quizBank[1].options[2]	Bê tông
destinations.json::[0].quizBank[2].question	Chùa Cầu bắc qua dòng nước chảy ra con sông nào?
destinations.json::[0].quizBank[2].options[0]	Sông Thu Bồn
destinations.json::[0].quizBank[2].options[1]	Sông Hàn
destinations.json::[0].quizBank[2].options[2]	Sông Hương
destinations.json::[0].quizBank[3].question	Chùa Cầu được xây dựng vào khoảng thời gian nào?
destinations.json::[0].quizBank[3].options[0]	Đầu thế kỷ 17
destinations.json::[0].quizBank[3].options[1]	Thế kỷ 15
destinations.json::[0].quizBank[3].options[2]	Thế kỷ 19
destinations.json::[0].quizBank[4].question	Hình ảnh Chùa Cầu xuất hiện trên tờ tiền Việt Nam mệnh giá nào?
destinations.json::[0].quizBank[4].options[0]	20.000 đồng
destinations.json::[0].quizBank[4].options[1]	10.000 đồng
destinations.json::[0].quizBank[4].options[2]	50.000 đồng
destinations.json::[0].short	Vừa là cầu, vừa là miếu — công trình hơn 400 năm đã thành gương mặt của Hội An.
destinations.json::[0].highlights[0]	Đôi tượng thần hầu và thiên cẩu gác hai đầu cầu
destinations.json::[0].highlights[1]	Ngôi miếu thờ Bắc Đế Trấn Võ giữa lòng cầu
destinations.json::[0].highlights[2]	Mái ngói âm dương và bộ vì kèo gỗ của người thợ xưa
destinations.json::[1].name	Chùa Quan Âm
destinations.json::[1].description	Cách Miếu Quan Công một khoảng vườn thanh tịnh làm nao lòng du khách, ngôi chùa là chốn tự tại giữa cảnh phồn hoa, giữ gìn nếp cũ người Minh Hương
