Tên điểm (VI) — KHÔNG sửa,Site name (EN),Vĩ độ / Latitude,Kinh độ / Longitude,Địa chỉ (VI),Address (EN),Giờ mở cửa (VI),Opening hours (EN),Giới thiệu ngắn (VI),Short description (EN),Dẫn chuyện khi vừa đến (VI),Arrival story (EN),Manh mối – nhìn/tìm gì? (VI),Clue – what to look for (EN),Câu hỏi (VI),Question (EN),Đáp án A (VI),Answer A (EN),Đáp án B (VI),Answer B (EN),Đáp án C (VI),Answer C (EN),Đáp án đúng (A/B/C),Lời giải / phần thưởng (VI),Reveal (EN)
Chùa Cầu,Japanese Covered Bridge,15.877153,108.326653,"Nguyễn Thị Minh Khai, Phường Minh An","Nguyen Thi Minh Khai St, Minh An Ward",Cả ngày,All day,"Cây cầu gỗ do thương nhân Nhật Bản xây dựng đầu thế kỷ 17, biểu tượng kiến trúc và linh hồn của phố cổ Hội An.",A wooden bridge built by Japanese merchants in the early 17th century — the architectural symbol and soul of Hoi An's old town.,"Bạn đang đứng đúng nơi khu phố Nhật và khu phố Hoa gặp nhau hơn 400 năm trước. Tương truyền cây cầu được dựng để trấn lưng con thuỷ quái Namazu — đầu ở Ấn Độ, thân ở Hội An, đuôi ở Nhật Bản — khiến nó không thể quẫy mình gây động đất.","You're standing exactly where the Japanese and Chinese quarters met over 400 years ago. Legend says the bridge was built to pin down the monster Namazu — head in India, body in Hoi An, tail in Japan — so it could not thrash and cause earthquakes.",Đừng vội qua cầu. Hãy nhìn kỹ hai đầu cầu — có hai cặp tượng linh vật bằng gỗ ngồi canh giữ.,Don't cross yet. Look closely at the two ends of the bridge — two pairs of carved wooden guardian animals sit watching.,Hai cặp linh vật canh giữ hai đầu Chùa Cầu là con gì?,Which two guardian animals watch over the ends of the bridge?,Chó và Khỉ,Dogs and Monkeys,Rồng và Phượng,Dragons and Phoenixes,Hổ và Voi,Tigers and Elephants,A,"Đúng rồi! Tương truyền cầu khởi công năm Thân và hoàn thành năm Tuất, nên chó và khỉ được chọn làm linh vật trấn giữ. Hình ảnh cây cầu này in trên tờ 20.000 đồng đấy.","Correct! Tradition says construction began in the Year of the Monkey and finished in the Year of the Dog — so monkeys and dogs became its guardians. This bridge is printed on the 20,000 VND banknote."
Hội quán Phúc Kiến,Fujian Assembly Hall,15.87735,108.33,"46 Trần Phú, Phường Minh An","46 Tran Phu St, Minh An Ward",07:00 – 18:00,07:00 – 18:00,"Hội quán lớn và lộng lẫy nhất Hội An, nơi thờ Thiên Hậu Thánh Mẫu — vị thần bảo hộ thương nhân đi biển của cộng đồng người Hoa gốc Phúc Kiến.","The largest and most ornate assembly hall in Hoi An, dedicated to Thien Hau, protector goddess of seafaring merchants of the Fujian community.","Năm 1697, một pho tượng nữ thần được sóng đưa vào bãi biển Hội An. Cộng đồng Phúc Kiến tin đó là Thiên Hậu — vị thần che chở thuyền buôn giữa biển khơi — và dựng nên hội quán nguy nga này để thờ bà.",In 1697 a statue of a goddess washed ashore on Hoi An beach. The Fujian community believed it was Thien Hau — protector of merchant ships on the open sea — and raised this magnificent hall in her honor.,"Trước khi vào trong, hãy dừng lại ở cổng chính màu hồng lộng lẫy phía ngoài và đếm số lối đi xuyên qua nó.","Before going in, pause at the grand pink front gate and count how many passageways run through it.",Cổng chính (Tam Quan) của Hội quán Phúc Kiến có mấy lối đi?,How many passageways does the main gate (Tam Quan) of the hall have?,3 lối,3 passageways,1 lối,1 passageway,5 lối,5 passageways,A,"Chính xác — Tam Quan nghĩa là 'ba cổng'. Trên nóc là cặp rồng gốm sứ chầu mặt trời, hai bên là biểu tượng mặt trời và mặt trăng cho âm dương hoà hợp.","Exactly — Tam Quan means 'three gates'. On its roof a pair of ceramic dragons face the sun, flanked by sun and moon symbols for the harmony of yin and yang."
Nhà cổ Tấn Ký,Tan Ky Old House,15.8768,108.3287,"101 Nguyễn Thái Học, Phường Minh An","101 Nguyen Thai Hoc St, Minh An Ward",08:00 – 18:00,08:00 – 18:00,"Ngôi nhà gần 200 năm tuổi, nơi bảy thế hệ một gia đình thương nhân sinh sống. Kiến trúc hoà quyện ba nền văn hoá Việt – Hoa – Nhật, mặt trước mở ra phố buôn, mặt sau quay ra sông Thu Bồn để bốc dỡ hàng.","A nearly 200-year-old house lived in by seven generations of a merchant family. Its architecture blends three cultures — Vietnamese, Chinese, Japanese — with a shopfront onto the street and a back door onto the Thu Bon River for loading goods.","Tên 'Tấn Ký' nghĩa là 'phát triển thịnh vượng trong buôn bán'. Nhưng sống bên sông Thu Bồn cũng có giá của nó — mỗi mùa mưa, nước lũ lại tìm đến tận trong nhà.",The name 'Tan Ky' means 'progress and prosperity in trade'. But living beside the Thu Bon River has its price — every rainy season the floodwaters find their way inside.,Hãy quan sát cây cột hoặc bức tường gần gian giữa nhà. Bạn sẽ thấy những vạch khắc đánh dấu nằm ngang ở nhiều độ cao khác nhau.,Look at a pillar or wall near the middle of the house. You'll find horizontal marks carved at several different heights.,Những vạch ngang được đánh dấu trên cột/tường nhà Tấn Ký ghi lại điều gì?,What do the horizontal marks on the pillar/wall record?,Mực nước các trận lụt lịch sử,Water levels of historic floods,Chiều cao các đời chủ nhà,Heights of each generation of owners,Năm xây dựng từng gian nhà,The year each room was built,A,Đúng vậy. Mỗi vạch là một trận lụt mà ngôi nhà đã đi qua. Bộ khung gỗ lim ghép mộng không dùng đinh đã giúp nó đứng vững gần hai thế kỷ.,"Right. Each mark is a flood the house has survived. Its ironwood frame, joined without a single nail, has held it up for nearly two centuries."
Miếu Quan Công,Quan Cong Temple,15.87726,108.3293,"24 Trần Phú, Phường Minh An","24 Tran Phu St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Ngôi miếu thờ Quan Công (Quan Vũ) — vị tướng thời Tam Quốc được tôn là biểu tượng của lòng trung nghĩa, được cả thương nhân Việt và Hoa kính ngưỡng.","A temple to Quan Cong (Guan Yu), the Three Kingdoms general revered as a symbol of loyalty and righteousness, honored by both Vietnamese and Chinese merchants.","Thương nhân xưa đến đây không chỉ cầu tài, mà cầu cho mình giữ được chữ 'tín' trong buôn bán — đức tính mà Quan Công là hiện thân. Ngài luôn được tạc với gương mặt đỏ rực.","Old merchants came here not only to pray for wealth, but to keep their word in trade — the virtue Quan Cong embodies. He is always sculpted with a fierce red face.","Trong sân miếu, hai bên có đặt tượng hai con tuấn mã được sơn màu nổi bật. Hãy để ý màu của chúng.",In the temple courtyard stand two statues of warhorses painted in striking colors. Notice their colors.,Đôi tượng ngựa trong miếu Quan Công được sơn hai màu gì?,What two colors are the horse statues in the temple painted?,Trắng và Đỏ,White and Red,Đen và Vàng,Black and Gold,Nâu và Xám,Brown and Grey,A,Chính xác! Con ngựa đỏ là Xích Thố — chiến mã huyền thoại gắn liền với Quan Công trong sử thi Tam Quốc.,"Correct! The red horse is Xich Tho (Red Hare), the legendary steed bound to Quan Cong in the Three Kingdoms epic."
Hội quán Quảng Triệu,Cantonese Assembly Hall,15.87725,108.3265,"176 Trần Phú, Phường Minh An","176 Tran Phu St, Minh An Ward",07:00 – 17:30,07:00 – 17:30,"Hội quán của cộng đồng người Hoa gốc Quảng Đông, nổi bật với nghệ thuật ghép sành sứ và những cột đá chạm rồng tinh xảo.","Assembly hall of the Cantonese community, known for its ceramic mosaic art and finely carved dragon stone columns.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Hội quán Quảng Triệu,Cantonese Assembly Hall,Hội quán Phúc Kiến,Fujian Assembly Hall,Hội quán Hải Nam,Hainan Assembly Hall,A,,
Hội quán Triều Châu,Teochew Assembly Hall,15.8769,108.3323,"157 Nguyễn Duy Hiệu, Phường Minh An","157 Nguyen Duy Hieu St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Hội quán của người Hoa gốc Triều Châu, thờ Phục Ba tướng quân — vị thần trấn sóng gió, nổi tiếng với các bức chạm gỗ và ghép sứ tinh tế.","Assembly hall of the Teochew community, dedicated to a general who calms the waves, famed for its delicate wood carvings and ceramic inlays.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Hội quán Triều Châu,Teochew Assembly Hall,Hội quán Quảng Triệu,Cantonese Assembly Hall,Hội quán Trung Hoa,Chinese Assembly Hall,A,,
Hội quán Hải Nam,Hainan Assembly Hall,15.87705,108.3308,"10 Trần Phú, Phường Minh An","10 Tran Phu St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Hội quán của cộng đồng người Hoa gốc Hải Nam, dựng để tưởng niệm 108 thương nhân gặp nạn oan khuất, với bàn thờ sơn son thếp vàng lộng lẫy.","Assembly hall of the Hainan community, built to honor 108 merchants who died unjustly, with a richly gilded main altar.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Hội quán Hải Nam,Hainan Assembly Hall,Hội quán Phúc Kiến,Fujian Assembly Hall,Hội quán Triều Châu,Teochew Assembly Hall,A,,
Hội quán Trung Hoa,Chinese Assembly Hall,15.8774,108.3276,"64 Trần Phú, Phường Minh An","64 Tran Phu St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Hội quán chung của năm bang người Hoa (Ngũ Bang) tại Hội An, là nơi sinh hoạt cộng đồng và thờ Thiên Hậu Thánh Mẫu.","The shared assembly hall of the five Chinese congregations in Hoi An, a community gathering place dedicated to the goddess Thien Hau.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Hội quán Trung Hoa,Chinese Assembly Hall,Hội quán Hải Nam,Hainan Assembly Hall,Hội quán Quảng Triệu,Cantonese Assembly Hall,A,,
Nhà cổ Phùng Hưng,Phung Hung Old House,15.87695,108.326,"4 Nguyễn Thị Minh Khai, Phường Minh An","4 Nguyen Thi Minh Khai St, Minh An Ward",08:00 – 18:00,08:00 – 18:00,"Ngôi nhà gỗ hai tầng hơn 200 năm tuổi ngay cạnh Chùa Cầu, có cửa sập trên sàn gác để chuyển hàng tránh lũ — minh chứng cho đời sống thương hồ xưa.","A two-storey wooden house over 200 years old beside the Japanese Bridge, with a trapdoor in the upper floor to move goods above floodwaters — a record of old trading life.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Nhà cổ Phùng Hưng,Phung Hung Old House,Nhà cổ Tấn Ký,Tan Ky Old House,Nhà cổ Quân Thắng,Quan Thang Old House,A,,
Nhà cổ Quân Thắng,Quan Thang Old House,15.877,108.329,"77 Trần Phú, Phường Minh An","77 Tran Phu St, Minh An Ward",08:00 – 18:00,08:00 – 18:00,"Ngôi nhà hơn 300 năm tuổi mang đậm phong cách Hoa Hạ vùng Triều Châu, nổi bật với những mảng chạm gỗ tinh xảo trên vì kèo và vách ngăn.","A house over 300 years old in the Teochew Chinese style, distinguished by exquisite wood carvings on its trusses and partitions.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Nhà cổ Quân Thắng,Quan Thang Old House,Nhà cổ Đức An,Duc An Old House,Nhà cổ Phùng Hưng,Phung Hung Old House,A,,
