path	vi	ja
destinations.json::[0].name	Chùa Cầu (Cầu Nhật Bản)	来遠橋（日本橋）
destinations.json::[0].description	Do các thương nhân Nhật Bản dựng vào khoảng đầu thế kỷ XVII để nối hai bờ khe nước chảy ra sông Thu Bồn, cầu vẫn giữ mái ngói âm dương và ngôi miếu nhỏ thờ Bắc Đế Trấn Võ ngay giữa lòng cầu. Người phố Hội gọi là Chùa Cầu; tên chữ Lai Viễn Kiều có nghĩa cầu đón khách từ phương xa tới.	17世紀初め、日本商人がトゥボン川へ流れ込む水路をまたぐために架けました。陰陽瓦の屋根と、橋の中央に北帝鎮武を祀る小さな祠が今も残ります。地元では「チュア・カウ（橋の寺）」と呼び、文献上の名「来遠橋」は遠方から来る客を迎える橋という意味です。
destinations.json::[0].quizBank[0].question	Chùa Cầu do cộng đồng thương nhân nào xây dựng?	来遠橋を建てたのはどの商人の共同体ですか？
destinations.json::[0].quizBank[0].options[0]	Nhật Bản	日本
destinations.json::[0].quizBank[0].options[1]	Trung Hoa	中国
destinations.json::[0].quizBank[0].options[2]	Bồ Đào Nha	ポルトガル
destinations.json::[0].quizBank[1].question	Chùa Cầu được làm chủ yếu bằng vật liệu gì?	来遠橋は主に何でできていますか？
destinations.json::[0].quizBank[1].options[0]	Gỗ	木
destinations.json::[0].quizBank[1].options[1]	Đá	石
destinations.json::[0].quizBank[1].options[2]	Bê tông	コンクリート
destinations.json::[0].quizBank[2].question	Chùa Cầu bắc qua dòng nước chảy ra con sông nào?	橋の下の流れはどの川に注ぎますか？
destinations.json::[0].quizBank[2].options[0]	Sông Thu Bồn	トゥボン川
destinations.json::[0].quizBank[2].options[1]	Sông Hàn	ハン川（ダナン）
destinations.json::[0].quizBank[2].options[2]	Sông Hương	フオン川（フエ）
destinations.json::[0].quizBank[3].question	Chùa Cầu được xây dựng vào khoảng thời gian nào?	来遠橋が架けられたのはいつごろですか？
destinations.json::[0].quizBank[3].options[0]	Đầu thế kỷ 17	17世紀初め
destinations.json::[0].quizBank[3].options[1]	Thế kỷ 15	15世紀
destinations.json::[0].quizBank[3].options[2]	Thế kỷ 19	19世紀
destinations.json::[0].quizBank[4].question	Hình ảnh Chùa Cầu xuất hiện trên tờ tiền Việt Nam mệnh giá nào?	来遠橋はベトナムのどの額面の紙幣に描かれていますか？
destinations.json::[0].quizBank[4].options[0]	20.000 đồng	20,000ドン
destinations.json::[0].quizBank[4].options[1]	10.000 đồng	10,000ドン
destinations.json::[0].quizBank[4].options[2]	50.000 đồng	50,000ドン
destinations.json::[0].short	Vừa là cầu, vừa là miếu — công trình hơn 400 năm đã thành gương mặt của Hội An.	橋であり、祠でもある——四百年を超えて会安の顔になった建物。
destinations.json::[0].highlights[0]	Đôi tượng thần hầu và thiên cẩu gác hai đầu cầu	橋の両端を守る猿と犬の像
destinations.json::[0].highlights[1]	Ngôi miếu thờ Bắc Đế Trấn Võ giữa lòng cầu	橋の中央にある北帝鎮武の祠
destinations.json::[0].highlights[2]	Mái ngói âm dương và bộ vì kèo gỗ của người thợ xưa	陰陽瓦の屋根と昔の職人の木組み
destinations.json::[1].name	Chùa Quan Âm	観音寺
destinations.json::[1].description	Cách Miếu Quan Công một khoảng vườn thanh tịnh làm nao lòng du khách, ngôi chùa là chốn tự tại giữa cảnh phồn hoa, giữ gìn nếp cũ người Minh Hương	関帝廟と静かな庭ひとつを隔てたこの寺は、賑わいの中で心を落ち着ける場所であり、明郷の人々の古い作法を守ってきました。
destinations.json::[1].quizBank[0].question	Tại sao vị bồ tát này lại có ngoại hình dữ tợn?	この菩薩はなぜ恐ろしい姿をしているのですか？
destinations.json::[1].quizBank[0].options[0]	Để hàng phục quỷ đói	餓鬼を降伏させるため
destinations.json::[1].quizBank[0].options[1]	Để bảo vệ linh tháp	霊塔を守るため
destinations.json::[1].quizBank[0].options[2]	Để tăng uy thế cho điện thờ	本堂の威厳を増すため
