path	vi	ko
destinations.json::[0].name	Chùa Cầu (Cầu Nhật Bản)	내원교 (일본교)
destinations.json::[0].description	Do các thương nhân Nhật Bản dựng vào khoảng đầu thế kỷ XVII để nối hai bờ khe nước chảy ra sông Thu Bồn, cầu vẫn giữ mái ngói âm dương và ngôi miếu nhỏ thờ Bắc Đế Trấn Võ ngay giữa lòng cầu. Người phố Hội gọi là Chùa Cầu; tên chữ Lai Viễn Kiều có nghĩa cầu đón khách từ phương xa tới.	17세기 초 일본 상인들이 투본강으로 흘러드는 물길의 두 岸을 잇기 위해 세웠습니다. 지금도 음양 기와지붕과, 다리 한가운데 북제진무(北帝鎭武)를 모신 작은 사당이 그대로 남아 있습니다. 현지에서는 '쭈아 꺼우(다리 사당)'라 부르고, 문헌상의 이름 내원교(來遠橋)는 '먼 곳에서 오는 손님을 맞는 다리'라는 뜻입니다.
destinations.json::[0].quizBank[0].question	Chùa Cầu do cộng đồng thương nhân nào xây dựng?	내원교는 어느 상인 공동체가 세웠나요?
destinations.json::[0].quizBank[0].options[0]	Nhật Bản	일본
destinations.json::[0].quizBank[0].options[1]	Trung Hoa	중국
destinations.json::[0].quizBank[0].options[2]	Bồ Đào Nha	포르투갈
destinations.json::[0].quizBank[1].question	Chùa Cầu được làm chủ yếu bằng vật liệu gì?	내원교는 주로 어떤 재료로 만들었나요?
destinations.json::[0].quizBank[1].options[0]	Gỗ	나무
destinations.json::[0].quizBank[1].options[1]	Đá	돌
destinations.json::[0].quizBank[1].options[2]	Bê tông	콘크리트
destinations.json::[0].quizBank[2].question	Chùa Cầu bắc qua dòng nước chảy ra con sông nào?	내원교 아래 물길은 어느 강으로 흘러드나요?
destinations.json::[0].quizBank[2].options[0]	Sông Thu Bồn	투본강
destinations.json::[0].quizBank[2].options[1]	Sông Hàn	한강 (다낭)
destinations.json::[0].quizBank[2].options[2]	Sông Hương	흐엉강 (후에)
destinations.json::[0].quizBank[3].question	Chùa Cầu được xây dựng vào khoảng thời gian nào?	내원교는 언제쯤 세워졌나요?
destinations.json::[0].quizBank[3].options[0]	Đầu thế kỷ 17	17세기 초
destinations.json::[0].quizBank[3].options[1]	Thế kỷ 15	15세기
destinations.json::[0].quizBank[3].options[2]	Thế kỷ 19	19세기
destinations.json::[0].quizBank[4].question	Hình ảnh Chùa Cầu xuất hiện trên tờ tiền Việt Nam mệnh giá nào?	내원교는 베트남 화폐 어느 권종에 실려 있나요?
destinations.json::[0].quizBank[4].options[0]	20.000 đồng	20,000동
destinations.json::[0].quizBank[4].options[1]	10.000 đồng	10,000동
destinations.json::[0].quizBank[4].options[2]	50.000 đồng	50,000동
destinations.json::[0].short	Vừa là cầu, vừa là miếu — công trình hơn 400 năm đã thành gương mặt của Hội An.	다리이면서 사당인 곳 — 400년을 넘긴 이 건물이 호이안의 얼굴입니다.
destinations.json::[0].highlights[0]	Đôi tượng thần hầu và thiên cẩu gác hai đầu cầu	다리 양쪽 끝을 지키는 원숭이상과 개상
destinations.json::[0].highlights[1]	Ngôi miếu thờ Bắc Đế Trấn Võ giữa lòng cầu	다리 한가운데 북제진무를 모신 사당
destinations.json::[0].highlights[2]	Mái ngói âm dương và bộ vì kèo gỗ của người thợ xưa	음양 기와지붕과 옛 목수들의 목조 트러스
destinations.json::[1].name	Chùa Quan Âm	관음사
destinations.json::[1].description	Cách Miếu Quan Công một khoảng vườn thanh tịnh làm nao lòng du khách, ngôi chùa là chốn tự tại giữa cảnh phồn hoa, giữ gìn nếp cũ người Minh Hương	관제묘와 정갈한 정원 하나를 사이에 두고 있는 이 절은 번화한 거리 가운데 마음을 내려놓는 자리이며, 명향(明鄉) 사람들의 옛 예법을 지켜 온 곳입니다.
destinations.json::[1].quizBank[0].question	Tại sao vị bồ tát này lại có ngoại hình dữ tợn?	이 보살은 왜 이렇게 무서운 모습인가요?
destinations.json::[1].quizBank[0].options[0]	Để hàng phục quỷ đói	아귀를 굴복시키기 위해
destinations.json::[1].quizBank[0].options[1]	Để bảo vệ linh tháp	사리탑을 지키기 위해
destinations.json::[1].quizBank[0].options[2]	Để tăng uy thế cho điện thờ	전각의 위엄을 더하기 위해
destinations.json::[1].quizBank[0].explain	Tiêu Diện Đại Sĩ là một hóa thân của Quan Thế Âm Bồ Tát, cai quản, nhiếp phục loài ngạ quỷ (quỷ đói) và cứu độ chúng sinh lầm đường lạc lối. Đối diện với Tiêu Diện Đại Sĩ là Vi Đà Tôn Thiên, mang sắc tướng khôi ngô, là người bảo vệ. Hai vị cũng được gọi là Ông Thiện và Ông Ác.	초면대사(焦面大士)는 관세음보살의 화신으로, 아귀를 다스려 굴복시키고 길을 잃은 중생을 건집니다. 그 맞은편에는 준수한 모습의 위타존천(韋陀尊天)이 지킴이로 서 있습니다. 두 분을 각각 '선한 분'과 '악한 분'이라고도 부릅니다.
destinations.json::[1].quizBank[1].question	Quan Thế Âm Bồ Tát cầm gì trên tay trái?	관세음보살은 왼손에 무엇을 들고 있나요?
destinations.json::[1].quizBank[1].options[0]	Bình hồ lô	호로병
destinations.json::[1].quizBank[1].options[1]	Bình tịnh thuỷ	정수를 담은 병
destinations.json::[1].quizBank[1].options[2]	Nhành dương liễu	버들 가지
destinations.json::[1].quizBank[1].explain	Tay trái Quan Âm cầm bình thanh tịnh đựng nước cam lồ, biểu trưng cho lòng từ bi. Tay phải bà cầm nhành dương liễu để rưới nước cam lồ cho lòng người mát mẻ. Nước này rưới đến đâu là chan rải tình thương đến đó, xoa dịu mọi khổ đau của chúng sanh.	관음의 왼손에는 감로수를 담은 정병이 들려 있어 자비를 나타냅니다. 오른손의 버들 가지로 그 감로수를 뿌려 사람의 마음을 시원하게 합니다. 물이 닿는 곳마다 사랑이 퍼지고 중생의 고통이 씻긴다고 합니다.
destinations.json::[1].short	“Tịnh cảnh đối phồn hoa, cửa chùa luôn tự tại”, ngôi chùa nhỏ thể hiện văn hóa Phật giáo tại Hội An.	“번화함을 마주한 고요, 절 문은 늘 편안하다” — 호이안의 불교 문화를 담은 작은 절.
destinations.json::[1].highlights[0]	Bài trí giản dị với tượng thờ và tranh vẽ phía sau	단정한 배치 — 불상과 그 뒤의 그림
destinations.json::[1].highlights[1]	Bộ tranh mười tám vị La Hán	십팔 나한 그림
destinations.json::[1].highlights[2]	Tượng Phật Bà ở sân trong, giữa tiểu cảnh và hồ nước nhỏ	안마당의 관음상 — 작은 조경과 연못 사이
destinations.json::[2].name	Miếu Quan Công	관제묘 (관공묘)
destinations.json::[2].description	Một di tích lâu đời chứng kiến những đổi thay của phố Hội. Nhiều hợp đồng thương mại đã từng được ký kết ở nơi đây, dưới sự chứng giám của Quan Thánh.	호이안의 변화를 오래 지켜본 유적입니다. 이곳에서 관성제군을 증인으로 삼아 수많은 상업 계약이 맺어졌습니다.
destinations.json::[2].quizBank[0].question	Tại sao Quan Thánh Đế Quân (Quan Công) lại được thờ phụng ở Hội An?	관성제군(관공)은 왜 호이안에서 모셔지나요?
destinations.json::[2].quizBank[0].options[0]	Ngài có khả năng chữa bệnh	병을 고치는 능력이 있어서
destinations.json::[2].quizBank[0].options[1]	Ngài là tấm gương nghĩa khí	의로움의 표상이기 때문에
destinations.json::[2].quizBank[0].options[2]	Ngài đảm bảo sự an toàn cho phố cảng	항구의 안전을 지켜 주기 때문에
destinations.json::[2].quizBank[0].explain	Tri huyện Trương Tăng Diễn từng cúng một câu đối thể hiện uy linh của Quan Thánh Đế Quân với người Việt: “Nhất điểm đan tâm tồn Bắc sử; Thiên thu nghĩa khí tráng Nam cương” (Một tấm lòng son lưu sử Bắc; Ngàn năm nghĩa khí tráng Nam cương). Đặc biệt, thương nhân ở Hội An còn coi Ngài là bậc Thánh chứng cho chữ tín trong giao thương và trừng phạt những kẻ vi phạm khế ước.	현감 쯔엉 땅 지엔은 베트남 사람들에게 관성제군의 위엄을 보여 주는 대련을 바쳤습니다. “일점단심존북사(一點丹心存北史), 천추의기장남강(千秋義氣壯南疆)” — 한 조각 붉은 마음은 북쪽 역사에 남고, 천년의 의기는 남쪽 강토를 씩씩하게 한다. 특히 호이안의 상인들은 그를 상거래의 신용을 증언하고 계약을 어긴 자를 벌하는 성인으로 여겼습니다.
destinations.json::[2].quizBank[1].question	Nhìn theo hướng từ chính điện ra, con ngựa bên trái Quan Công có màu gì?	본전에서 밖을 바라볼 때, 관공 왼쪽의 말은 어떤 색인가요?
destinations.json::[2].quizBank[1].options[0]	Đen	검정
destinations.json::[2].quizBank[1].options[1]	Trắng	흰색
destinations.json::[2].quizBank[1].options[2]	Đỏ	빨강
destinations.json::[2].quizBank[1].explain	Phía bên trái của Quan Công là tượng ngựa Xích Thố, toàn thân một màu đỏ rực như lửa. Trong tiểu thuyết “Tam Quốc diễn nghĩa”, Xích Thố đã qua nhiều đời chủ rồi gắn bó với nhân vật Quan Vũ. Sau khi Quan Vũ mất, ngựa bỏ ăn mà chết để bày tỏ lòng trung thành.	관공의 왼쪽에 있는 것은 온몸이 불처럼 붉은 적토마(赤兔馬)입니다. 『삼국지연의』에서 적토마는 여러 주인을 거친 뒤 관우와 함께했고, 관우가 세상을 떠난 뒤 먹이를 끊고 죽어 충심을 보였다고 합니다.
destinations.json::[2].quizBank[2].question	Bức tranh phía bên trái từ trong chính điện nhìn ra vẽ cảnh gì?	본전에서 밖을 바라볼 때 왼쪽 벽의 그림은 어떤 장면인가요?
destinations.json::[2].quizBank[2].options[0]	Quan Công phò nhị tẩu (Quan Công hộ tống hai người chị dâu)	관공이 두 형수를 호송하다 (千里護嫂)
destinations.json::[2].quizBank[2].options[1]	Tam cố mao lư (Ba lần đến nhà tranh)	삼고초려 (세 번 초가를 찾다)
destinations.json::[2].quizBank[2].options[2]	Đào viên kết nghĩa (Kết nghĩa ở vườn đào)	도원결의 (복숭아 동산의 맹세)
destinations.json::[2].quizBank[2].explain	Trong tranh, Quan Vũ hộ tống hai người vợ của Lưu Bị vượt qua năm cửa ải của Tào Tháo và chém sáu tướng cản đường để trở về với Lưu Bị. Ở phía bức tường còn lại, vẽ cảnh Châu Thương xin quy phục Quan Vũ. Sự kiện này cũng diễn ra trên đường trở về với Lưu Bị. Cả thiên truyện “vượt năm ải, chém sáu tướng” ca ngợi lòng trung thành và tiết nghĩa tuyệt đối của Quan Vũ. Về Châu Thương, đây là một trong hai đệ tử thường được phối thờ với Ngài. Châu Thương là người cầm Thanh Long yển nguyệt đao đứng phía tay trái Quan Công trong miếu này.	그림에서 관우는 유비의 두 부인을 호송해 조조의 다섯 관문을 지나고, 길을 막는 여섯 장수를 베며 유비에게 돌아갑니다. 반대편 벽에는 주창이 관우에게 귀순을 청하는 장면이 있는데, 이 역시 돌아가는 길에 일어난 일입니다. '오관을 지나 여섯 장수를 베다'라는 이야기 전체가 관우의 충의를 기립니다. 주창은 관우와 함께 모셔지는 두 제자 중 한 명으로, 이 묘에서는 청룡언월도를 든 채 관공의 왼쪽에 서 있습니다.
destinations.json::[2].short	Nổi bật với sắc đỏ uy phong của lòng chính trực, là trung tâm tín ngưỡng quan trọng bậc nhất cảng thị này.	정직한 마음을 나타내는 위엄 있는 붉은색 — 이 항구 도시에서 가장 중요한 신앙의 중심.
destinations.json::[2].highlights[0]	Hoành phi được tiến cúng bởi các hội quán người Hoa khác nhau	여러 화교 회관이 바친 편액
destinations.json::[2].highlights[1]	Bài thơ của Xuân Quận công Nguyễn Nghiễm	쑤언 꾸언 꽁 응우옌 응이엠의 시
destinations.json::[2].highlights[2]	Tượng Quan Công, hai đệ tử cùng ngựa Xích Thố và Bạch Thố	관공상과 두 제자, 적토마와 백토마
destinations.json::[3].name	Bảo tàng Gốm sứ mậu dịch	무역 도자 박물관
destinations.json::[3].description	Gốm là một minh chứng cho thời thông thương sôi động tại Hội An. Bên cạnh thổ sản, tơ tằm, đã từng có những con thuyền chở toàn gốm đến, đi, và cả nằm lại dưới biển.	도자기는 호이안의 활발했던 교역기를 증언합니다. 토산물과 명주 외에도, 배 한 척을 온통 도자기로 채워 오고 가던 시절이 있었고, 그중 일부는 바다 밑에 남았습니다.
destinations.json::[3].quizBank[0].question	Họa tiết này nằm trong hiện vật nào?	이 문양은 어떤 유물에 있는 것인가요?
destinations.json::[3].quizBank[0].options[0]	Một chiếc thau	대야
destinations.json::[3].quizBank[0].options[1]	Một chiếc đĩa	접시
destinations.json::[3].quizBank[0].options[2]	Một chiếc bát	사발
destinations.json::[3].quizBank[0].explain	Chi tiết nằm trong một chiếc bát sứ Hizen, Nhật Bản, có niên đại khoảng nửa sau thế kỷ XVII. Hoạ tiết Thọ Lão cưỡi hạc này rất phổ biến trong gốm sứ Đông Á, thể hiện mong ước sống trường thọ.	이 세부는 17세기 후반 무렵 일본 히젠(肥前)에서 만든 자기 사발에 있는 것입니다. 학을 탄 수로인(壽老人) 문양은 동아시아 도자기에서 매우 흔하며, 오래 살기를 바라는 마음을 담습니다.
destinations.json::[3].quizBank[1].question	Bạn có thể đi tìm chú cua này không? Ai là người làm ra chú?	이 게를 찾아보실래요? 누가 만든 것일까요?
destinations.json::[3].quizBank[1].options[0]	Người Việt thế kỷ XV-XVI	15~16세기 베트남 사람
destinations.json::[3].quizBank[1].options[1]	Người Hoa thế kỷ XVII	17세기 중국 사람
destinations.json::[3].quizBank[1].options[2]	Người Nhật thế kỷ XVII	17세기 일본 사람
destinations.json::[3].quizBank[1].explain	Chu Đậu là dòng gốm cổ cao cấp nổi tiếng của Việt Nam có lịch sử gần 600 năm, phát triển rực rỡ từ thế kỷ XIV – XVI trước khi bị thất truyền và được phục hưng thành công. Làm từ đất sét trắng đặc trưng vùng Trúc Thôn (Chí Linh, Hải Dương), dòng gốm này được ca ngợi là “mỏng như giấy, trong như ngọc, trắng như ngà, kêu như chuông”.	쭈더우(朱豆)는 600년 가까운 역사를 가진 베트남의 이름난 고급 도자기로, 14~16세기에 활발히 발전했다가 끊겼고 뒷날 되살아났습니다. 하이즈엉 찌린의 쭉톤 지역 특유의 백토로 만들며 '종이처럼 얇고, 옥처럼 맑고, 상아처럼 희고, 종처럼 울린다'고 칭송받았습니다.
destinations.json::[3].quizBank[2].question	Làm sao mà chú cua này vẫn còn nguyên vẹn sau vụ đắm tàu?	이 게는 배가 난파했는데 어떻게 온전히 남았을까요?
destinations.json::[3].quizBank[2].options[0]	Vì chúng nằm gần bờ	바닷가에 가까이 있었기 때문
destinations.json::[3].quizBank[2].options[1]	Vì chúng nằm trong lớp bùn biển	바다 진흙층 안에 묻혔기 때문
destinations.json::[3].quizBank[2].options[2]	Vì chúng được vớt lên ngay sau đó	곧바로 건져 올렸기 때문
destinations.json::[3].quizBank[2].explain	Sau khi con tàu chở những đồ gốm này bị đắm, khả năng cao thân tàu đã nhanh chóng chìm vào lớp bùn, khiến cho một phần thân tàu còn nguyên vẹn và nhiều đồ gốm có thể được phát hiện nguyên trạng trong tàu.	이 도자기를 실은 배가 가라앉은 뒤, 선체는 빠르게 진흙 속에 잠긴 것으로 보입니다. 그래서 선체의 일부가 온전히 남았고, 많은 도자기가 배 안에서 원래 상태로 발견될 수 있었습니다.
destinations.json::[3].short	Một vòng cảng thị từ gốm Hizen, Phước Kiến, đến gốm Islam, Chu Đậu.	히젠과 푸젠의 도자기부터 이슬람 도기, 쭈더우 자기까지 — 항구를 한 바퀴.
destinations.json::[3].highlights[0]	Sản phẩm gốm tới từ Nhật Bản, Trung Hoa, Trung Đông,...	일본, 중국, 중동에서 온 도자기
destinations.json::[3].highlights[1]	Gốm Chu Đậu mỏng như giấy, trong như ngọc	종이처럼 얇고 옥처럼 맑은 쭈더우 자기
destinations.json::[3].highlights[2]	Câu chuyện từ những di chỉ gốm	도자기 유적이 들려주는 이야기
destinations.json::[4].name	Bảo tàng Hội An	호이안 박물관
destinations.json::[4].description	Hội An là một thành phố nhỏ trực thuộc tỉnh Quảng Nam, nằm bên bờ bắc sông Thu Bồn cách Thành phố Đà Nẵng 30km về phía Nam. Thành phố Hội An có diện tích khoảng 60 km2, dân số hơn 90.000 người, gồm 9 phường , 3 xã đất liền và 1 xã đảo.	호이안은 꽝남성에 속한 작은 도시로, 투본강 북안에 있으며 다낭에서 남쪽으로 30km 떨어져 있습니다. 면적은 약 60km², 인구는 9만 명이 넘고, 9개 동과 육지 3개 면, 섬 1개 면으로 이루어져 있습니다.
destinations.json::[5].name	Bảo tàng Văn hóa Sa Huỳnh	사후인 문화 박물관
destinations.json::[5].description	Sa Huỳnh là một trong ba cái nôi văn minh cổ xưa lớn nhất Việt Nam. Quan sát sự tương đồng của hiện vật sắt Sa Huỳnh tại Hội An với hiện vật sắt thời Hán, các nhà nghiên cứu đã kết luận nơi đây từng có một cảng thị sơ khai. Liệu những cư dân từ xa xưa của vùng đất này từng sống như thế nào?	사후인은 베트남 3대 고대 문명의 요람 가운데 하나입니다. 호이안에서 나온 사후인 철기가 한(漢)대 철기와 닮은 점을 근거로, 연구자들은 이곳에 초기 항구 도시가 있었다고 보았습니다. 이 땅의 옛 주민들은 어떻게 살았을까요?
destinations.json::[5].quizBank[0].question	Những chiếc chum lớn từng được dùng để làm gì?	이 큰 독들은 무엇에 쓰였나요?
destinations.json::[5].quizBank[0].options[0]	Mai táng người đã khuất	죽은 이를 묻는 데
destinations.json::[5].quizBank[0].options[1]	Dự trữ lương thực	곡식을 저장하는 데
destinations.json::[5].quizBank[0].options[2]	Dự trữ nước mưa	빗물을 받아 두는 데
destinations.json::[5].quizBank[0].explain	Táng mộ chum là hình thức mai táng nổi bật nhất của cư dân văn hóa Sa Huỳnh, trong đó người chết được đặt nguyên thi thể, than tro hỏa táng hoặc di cốt vào bên trong một chiếc chum bằng gốm đất nung cùng một vài đồ tùy táng như công cụ sản xuất hay trang sức.	옹관장은 사후인 문화 주민의 가장 두드러진 장례 방식입니다. 시신을 그대로, 또는 화장한 재나 뼈를 구운 토기 독 안에 넣고, 생산 도구나 장신구 같은 부장품을 몇 가지 함께 두었습니다.
destinations.json::[5].quizBank[1].question	Chất liệu nào được dùng rộng rãi nhất để sản xuất công cụ lao động của cư dân Sa Huỳnh?	사후인 사람들이 노동 도구를 만들 때 가장 널리 쓴 재료는 무엇인가요?
destinations.json::[5].quizBank[1].options[0]	Đồng	청동
destinations.json::[5].quizBank[1].options[1]	Sắt	철
destinations.json::[5].quizBank[1].options[2]	Đá	돌
destinations.json::[5].quizBank[1].explain	Công cụ lao động phổ biến của người Sa Huỳnh chủ yếu được làm bằng sắt, bên cạnh các vật liệu truyền thống như đá, gốm và vỏ nhuyễn thể. Đồ sắt được phát hiện trong các di tích ở Hội An hầu hết nằm bên trong mộ chum, có kích thước lớn và đã qua sử dụng. Rất có thể đây là hiện vật mà lúc còn sống chủ nhân của chúng đã từng sử dụng.	사후인 사람들의 도구는 대부분 철로 만들었고, 돌·토기·조개껍데기 같은 전통 재료도 함께 썼습니다. 호이안 유적에서 나온 철기는 거의 모두 옹관 안에 있었고, 크기가 크며 사용한 흔적이 있습니다. 생전에 주인이 실제로 쓰던 물건일 가능성이 큽니다.
destinations.json::[5].short	Cách đây 2000 năm, người ta đã sống tại nơi bạn đang đứng như thế nào?	2000년 전, 지금 당신이 선 이곳에서 사람들은 어떻게 살았을까요?
destinations.json::[5].highlights[0]	Táng tục mộ chum	독무덤(옹관) 장례 풍습
destinations.json::[5].highlights[1]	Các chế tác quan trọng như công cụ lao động và trang sức	노동 도구와 장신구 등 중요한 제작물
destinations.json::[5].highlights[2]	Kỹ thuật sản xuất đồ gốm	토기 제작 기술
destinations.json::[6].name	Bảo tàng Văn hóa dân gian	민속 문화 박물관
