path	vi	de
destinations.json::[0].name	Chùa Cầu (Cầu Nhật Bản)	Die Japanische Brücke
destinations.json::[0].description	Do các thương nhân Nhật Bản dựng vào khoảng đầu thế kỷ XVII để nối hai bờ khe nước chảy ra sông Thu Bồn, cầu vẫn giữ mái ngói âm dương và ngôi miếu nhỏ thờ Bắc Đế Trấn Võ ngay giữa lòng cầu. Người phố Hội gọi là Chùa Cầu; tên chữ Lai Viễn Kiều có nghĩa cầu đón khách từ phương xa tới.	Japanische Kaufleute errichteten die Brücke im frühen 17. Jahrhundert über den Bach, der in den Thu Bồn mündet. Sie trägt noch ihr Yin-Yang-Ziegeldach und in der Mitte einen kleinen Schrein für Bắc Đế Trấn Võ. Einheimische nennen sie Chùa Cầu, die Pagodenbrücke; ihr Gelehrtenname Lai Viễn Kiều heißt „Brücke, die Gäste aus der Ferne empfängt“.
destinations.json::[0].quizBank[0].question	Chùa Cầu do cộng đồng thương nhân nào xây dựng?	Welche Kaufmannsgemeinschaft baute die Brücke?
destinations.json::[0].quizBank[0].options[0]	Nhật Bản	Die Japaner
destinations.json::[0].quizBank[0].options[1]	Trung Hoa	Die Chinesen
destinations.json::[0].quizBank[0].options[2]	Bồ Đào Nha	Die Portugiesen
destinations.json::[0].quizBank[1].question	Chùa Cầu được làm chủ yếu bằng vật liệu gì?	Woraus besteht die Brücke vor allem?
destinations.json::[0].quizBank[1].options[0]	Gỗ	Holz
destinations.json::[0].quizBank[1].options[1]	Đá	Stein
destinations.json::[0].quizBank[1].options[2]	Bê tông	Beton
destinations.json::[0].quizBank[2].question	Chùa Cầu bắc qua dòng nước chảy ra con sông nào?	In welchen Fluss mündet der Bach unter der Brücke?
destinations.json::[0].quizBank[2].options[0]	Sông Thu Bồn	Der Thu Bồn
destinations.json::[0].quizBank[2].options[1]	Sông Hàn	Der Hàn (Đà Nẵng)
destinations.json::[0].quizBank[2].options[2]	Sông Hương	Der Parfümfluss (Huế)
destinations.json::[0].quizBank[3].question	Chùa Cầu được xây dựng vào khoảng thời gian nào?	Wann wurde die Brücke gebaut?
destinations.json::[0].quizBank[3].options[0]	Đầu thế kỷ 17	Im frühen 17. Jahrhundert
destinations.json::[0].quizBank[3].options[1]	Thế kỷ 15	Im 15. Jahrhundert
destinations.json::[0].quizBank[3].options[2]	Thế kỷ 19	Im 19. Jahrhundert
destinations.json::[0].quizBank[4].question	Hình ảnh Chùa Cầu xuất hiện trên tờ tiền Việt Nam mệnh giá nào?	Auf welchem vietnamesischen Geldschein ist die Brücke zu sehen?
destinations.json::[0].quizBank[4].options[0]	20.000 đồng	20.000 ₫
destinations.json::[0].quizBank[4].options[1]	10.000 đồng	10.000 ₫
destinations.json::[0].quizBank[4].options[2]	50.000 đồng	50.000 ₫
destinations.json::[0].short	Vừa là cầu, vừa là miếu — công trình hơn 400 năm đã thành gương mặt của Hội An.	Brücke und Schrein in einem — über 400 Jahre alt und das Gesicht von Hội An.
destinations.json::[0].highlights[0]	Đôi tượng thần hầu và thiên cẩu gác hai đầu cầu	Affen- und Hundefiguren an beiden Brückenköpfen
destinations.json::[0].highlights[1]	Ngôi miếu thờ Bắc Đế Trấn Võ giữa lòng cầu	Der Schrein für Bắc Đế Trấn Võ in der Brückenmitte
destinations.json::[0].highlights[2]	Mái ngói âm dương và bộ vì kèo gỗ của người thợ xưa	Yin-Yang-Ziegel und das Holzgebälk der alten Zimmerleute
destinations.json::[1].name	Chùa Quan Âm	Die Quan-Âm-Pagode
destinations.json::[1].description	Cách Miếu Quan Công một khoảng vườn thanh tịnh làm nao lòng du khách, ngôi chùa là chốn tự tại giữa cảnh phồn hoa, giữ gìn nếp cũ người Minh Hương	Nur ein stiller Garten trennt sie vom Quan-Công-Tempel: Diese Pagode ist ein Ort der Ruhe mitten im Treiben und bewahrt die alten Gebräuche der Minh-Hương-Gemeinschaft.
